"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              1,               ,              1,               ,               ,               ,
2020-02-16,              1,            1.0,              0,               ,               ,               ,
2020-02-17,              1,            1.0,              0,               ,               ,               ,
2020-02-18,              1,            1.0,              0,               ,               ,               ,
2020-02-19,              1,            1.0,              0,               ,               ,               ,
2020-02-20,              1,            1.0,              0,               ,               ,               ,
2020-02-21,              1,            1.0,              0,               ,               ,               ,
2020-02-22,              1,            1.0,              0,               ,               ,               ,
2020-02-23,              1,            1.0,              0,               ,               ,               ,
2020-02-24,              1,            1.0,              0,               ,               ,               ,
2020-02-25,              1,            1.0,              0,               ,               ,               ,
2020-02-26,              1,            1.0,              0,               ,               ,               ,
2020-02-27,              1,            1.0,              0,               ,               ,               ,
2020-02-28,              1,            1.0,              0,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              2,            2.0,              1,               ,               ,               ,
2020-03-02,              8,            4.0,              6,               ,               ,               ,
2020-03-03,             15,          1.875,              7,               ,               ,               ,
2020-03-04,             23,          1.533,              8,               ,               ,               ,
2020-03-05,             50,          2.174,             27,               ,               ,               ,
2020-03-06,            109,           2.18,             59,               ,               ,               ,
2020-03-07,            169,           1.55,             60,               ,               ,               ,
2020-03-08,            200,          1.183,             31,               ,               ,               ,
2020-03-09,            239,          1.195,             39,               ,               ,               ,
2020-03-10,            267,          1.117,             28,               ,               ,               ,
2020-03-11,            314,          1.176,             47,              3,               ,              3,
2020-03-12,            399,          1.271,             85,              3,            1.0,              0,
2020-03-13,            559,          1.401,            160,              3,            1.0,              0,
2020-03-14,            689,          1.233,            130,              4,          1.333,              1,
2020-03-15,            886,          1.286,            197,              4,            1.0,              0,
2020-03-16,           1058,          1.194,            172,             10,            2.5,              6,
2020-03-17,           1243,          1.175,            185,             10,            1.0,              0,
2020-03-18,           1486,          1.195,            243,             14,            1.4,              4,
2020-03-19,           1795,          1.208,            309,             21,            1.5,              7,
2020-03-20,           2257,          1.257,            462,             37,          1.762,             16,
2020-03-21,           2815,          1.247,            558,             67,          1.811,             30,
2020-03-22,           3401,          1.208,            586,             75,          1.119,              8,
2020-03-23,           3743,          1.101,            342,             88,          1.173,             13,
2020-03-24,           4269,          1.141,            526,            122,          1.386,             34,
2020-03-25,           4937,          1.156,            668,            178,          1.459,             56,
2020-03-26,           6235,          1.263,           1298,            220,          1.236,             42,
2020-03-27,           7284,          1.168,           1049,            289,          1.314,             69,
2020-03-28,           9134,          1.254,           1850,            353,          1.221,             64,
2020-03-29,          10836,          1.186,           1702,            431,          1.221,             78,
2020-03-30,          11899,          1.098,           1063,            513,           1.19,             82,
2020-03-31,          12775,          1.074,            876,            705,          1.374,            192,
2020-04-01,          13964,          1.093,           1189,            828,          1.174,            123,
2020-04-02,          15348,          1.099,           1384,           1011,          1.221,            183,
2020-04-03,          16770,          1.093,           1422,           1143,          1.131,            132,
2020-04-04,          18431,          1.099,           1661,           1283,          1.122,            140,
2020-04-05,          19691,          1.068,           1260,           1447,          1.128,            164,
