"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,              1,               ,              1,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              1,            1.0,              0,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              1,            1.0,              0,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              1,            1.0,              0,               ,               ,               ,
2020-03-07,              1,            1.0,              0,               ,               ,               ,
2020-03-08,              1,            1.0,              0,               ,               ,               ,
2020-03-09,              1,            1.0,              0,               ,               ,               ,
2020-03-10,              3,            3.0,              2,               ,               ,               ,
2020-03-11,              3,            1.0,              0,               ,               ,               ,
2020-03-12,              3,            1.0,              0,               ,               ,               ,
2020-03-13,              6,            2.0,              3,               ,               ,               ,
2020-03-14,              9,            1.5,              3,               ,               ,               ,
2020-03-15,             14,          1.556,              5,               ,               ,               ,
2020-03-16,             18,          1.286,              4,               ,               ,               ,
2020-03-17,             26,          1.444,              8,               ,               ,               ,
2020-03-18,             34,          1.308,              8,               ,               ,               ,
2020-03-19,             48,          1.412,             14,               ,               ,               ,
2020-03-20,             69,          1.438,             21,              1,               ,              1,
2020-03-21,             99,          1.435,             30,              1,            1.0,              0,
2020-03-22,            143,          1.444,             44,              1,            1.0,              0,
2020-03-23,            179,          1.252,             36,              1,            1.0,              0,
2020-03-24,            209,          1.168,             30,              2,            2.0,              1,
2020-03-25,            274,          1.311,             65,              4,            2.0,              2,
2020-03-26,            299,          1.091,             25,              4,            1.0,              0,
2020-03-27,            358,          1.197,             59,              5,           1.25,              1,
2020-03-28,            394,          1.101,             36,              7,            1.4,              2,
2020-03-29,            460,          1.168,             66,              7,            1.0,              0,
2020-03-30,            491,          1.067,             31,              7,            1.0,              0,
2020-03-31,            537,          1.094,             46,              8,          1.143,              1,
2020-04-01,            581,          1.082,             44,              8,            1.0,              0,
2020-04-02,            649,          1.117,             68,              9,          1.125,              1,
2020-04-03,            696,          1.072,             47,              9,            1.0,              0,
