"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              1,              0,              1,              0,              0,              0,
2020-03-11,              1,            1.0,              0,              0,              0,              0,
2020-03-12,              1,            1.0,              0,              0,              0,              0,
2020-03-13,              5,            5.0,              4,              0,              0,              0,
2020-03-14,              6,            1.2,              1,              0,              0,              0,
2020-03-15,             18,            3.0,             12,              0,              0,              0,
2020-03-16,             47,          2.611,             29,              0,              0,              0,
2020-03-17,             98,          2.085,             51,              1,              0,              1,
2020-03-18,            191,          1.949,             93,              2,            2.0,              1,
2020-03-19,            359,           1.88,            168,              4,            2.0,              2,
2020-03-20,            670,          1.866,            311,              9,           2.25,              5,
2020-03-21,            947,          1.413,            277,             21,          2.333,             12,
2020-03-22,           1236,          1.305,            289,             30,          1.429,              9,
2020-03-23,           1529,          1.237,            293,             37,          1.233,              7,
2020-03-24,           1872,          1.224,            343,             44,          1.189,              7,
2020-03-25,           2433,            1.3,            561,             59,          1.341,             15,
2020-03-26,           3629,          1.492,           1196,             75,          1.271,             16,
2020-03-27,           5698,           1.57,           2069,             92,          1.227,             17,
2020-03-28,           7402,          1.299,           1704,            108,          1.174,             16,
2020-03-29,           9217,          1.245,           1815,            131,          1.213,             23,
2020-03-30,          10827,          1.175,           1610,            168,          1.282,             37,
2020-03-31,          13531,           1.25,           2704,            214,          1.274,             46,
2020-04-01,          15679,          1.159,           2148,            277,          1.294,             63,
2020-04-02,          18135,          1.157,           2456,            356,          1.285,             79,
2020-04-03,          20921,          1.154,           2786,            425,          1.194,             69,
2020-04-04,          23934,          1.144,           3013,            501,          1.179,             76,
2020-04-05,          27069,          1.131,           3135,            574,          1.146,             73,
2020-04-06,          30217,          1.116,           3148,            649,          1.131,             75,
2020-04-07,          34109,          1.129,           3892,            725,          1.117,             76,
2020-04-08,          38226,          1.121,           4117,            812,           1.12,             87,
2020-04-09,          42282,          1.106,           4056,            908,          1.118,             96,
2020-04-10,          47029,          1.112,           4747,           1006,          1.108,             98,
