"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              1,              0,              1,              0,              0,              0,
2020-03-14,              1,            1.0,              0,              0,              0,              0,
2020-03-15,              1,            1.0,              0,              0,              0,              0,
2020-03-16,              1,            1.0,              0,              0,              0,              0,
2020-03-17,              3,            3.0,              2,              0,              0,              0,
2020-03-18,              3,            1.0,              0,              0,              0,              0,
2020-03-19,              3,            1.0,              0,              0,              0,              0,
2020-03-20,              4,          1.333,              1,              1,              0,              1,
2020-03-21,              5,           1.25,              1,              1,            1.0,              0,
2020-03-22,              5,            1.0,              0,              1,            1.0,              0,
2020-03-23,              6,            1.2,              1,              1,            1.0,              0,
2020-03-24,              6,            1.0,              0,              1,            1.0,              0,
2020-03-25,              6,            1.0,              0,              1,            1.0,              0,
2020-03-26,              7,          1.167,              1,              1,            1.0,              0,
2020-03-27,              7,            1.0,              0,              1,            1.0,              0,
2020-03-28,              7,            1.0,              0,              1,            1.0,              0,
2020-03-29,              7,            1.0,              0,              1,            1.0,              0,
2020-03-30,              7,            1.0,              0,              1,            1.0,              0,
2020-03-31,             16,          2.286,              9,              1,            1.0,              0,
2020-04-01,             18,          1.125,              2,              1,            1.0,              0,
2020-04-02,             21,          1.167,              3,              1,            1.0,              0,
2020-04-03,             21,            1.0,              0,              1,            1.0,              0,
2020-04-04,             21,            1.0,              0,              1,            1.0,              0,
2020-04-05,             21,            1.0,              0,              1,            1.0,              0,
2020-04-06,             24,          1.143,              3,              1,            1.0,              0,
2020-04-07,             30,           1.25,              6,              1,            1.0,              0,
2020-04-08,             34,          1.133,              4,              1,            1.0,              0,
2020-04-09,             44,          1.294,             10,              1,            1.0,              0,
2020-04-10,             44,            1.0,              0,              1,            1.0,              0,
