"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              2,               ,              2,               ,               ,               ,
2020-02-16,              2,            1.0,              0,               ,               ,               ,
2020-02-17,              2,            1.0,              0,               ,               ,               ,
2020-02-18,              2,            1.0,              0,               ,               ,               ,
2020-02-19,              2,            1.0,              0,               ,               ,               ,
2020-02-20,              2,            1.0,              0,               ,               ,               ,
2020-02-21,              2,            1.0,              0,               ,               ,               ,
2020-02-22,              2,            1.0,              0,               ,               ,               ,
2020-02-23,              2,            1.0,              0,               ,               ,               ,
2020-02-24,              3,            1.5,              1,               ,               ,               ,
2020-02-25,              9,            3.0,              6,               ,               ,               ,
2020-02-26,             13,          1.444,              4,               ,               ,               ,
2020-02-27,             25,          1.923,             12,               ,               ,               ,
2020-02-28,             33,           1.32,              8,               ,               ,               ,
2020-02-29,             58,          1.758,             25,               ,               ,               ,
2020-03-01,             84,          1.448,             26,               ,               ,               ,
2020-03-02,            120,          1.429,             36,               ,               ,               ,
2020-03-03,            165,          1.375,             45,              1,               ,              1,
2020-03-04,            228,          1.382,             63,              2,            2.0,              1,
2020-03-05,            282,          1.237,             54,              3,            1.5,              1,
2020-03-06,            401,          1.422,            119,              8,          2.667,              5,
2020-03-07,            525,          1.309,            124,             10,           1.25,              2,
2020-03-08,            674,          1.284,            149,             17,            1.7,              7,
2020-03-09,           1231,          1.826,            557,             30,          1.765,             13,
2020-03-10,           1695,          1.377,            464,             36,            1.2,              6,
2020-03-11,           2277,          1.343,            582,             55,          1.528,             19,
2020-03-12,           3146,          1.382,            869,             86,          1.564,             31,
2020-03-13,           5232,          1.663,           2086,            133,          1.547,             47,
2020-03-14,           6391,          1.222,           1159,            196,          1.474,             63,
2020-03-15,           7988,           1.25,           1597,            294,            1.5,             98,
2020-03-16,           9942,          1.245,           1954,            342,          1.163,             48,
2020-03-17,          11826,          1.189,           1884,            533,          1.558,            191,
2020-03-18,          14769,          1.249,           2943,            638,          1.197,            105,
2020-03-19,          18077,          1.224,           3308,            831,          1.303,            193,
2020-03-20,          21571,          1.193,           3494,           1093,          1.315,            262,
2020-03-21,          25496,          1.182,           3925,           1381,          1.263,            288,
2020-03-22,          28768,          1.128,           3272,           1772,          1.283,            391,
2020-03-23,          35136,          1.221,           6368,           2311,          1.304,            539,
2020-03-24,          42058,          1.197,           6922,           2991,          1.294,            680,
2020-03-25,          49515,          1.177,           7457,           3647,          1.219,            656,
2020-03-26,          57786,          1.167,           8271,           4365,          1.197,            718,
2020-03-27,          65719,          1.137,           7933,           5138,          1.177,            773,
2020-03-28,          73235,          1.114,           7516,           5982,          1.164,            844,
2020-03-29,          80110,          1.094,           6875,           6803,          1.137,            821,
2020-03-30,          87956,          1.098,           7846,           7716,          1.134,            913,
2020-03-31,          95923,          1.091,           7967,           8464,          1.097,            748,
2020-04-01,         104118,          1.085,           8195,           9387,          1.109,            923,
2020-04-02,         112065,          1.076,           7947,          10348,          1.102,            961,
2020-04-03,         119199,          1.064,           7134,          11198,          1.082,            850,
2020-04-04,         126168,          1.058,           6969,          11947,          1.067,            749,
2020-04-05,         131646,          1.043,           5478,          12641,          1.058,            694,
2020-04-06,         136675,          1.038,           5029,          13341,          1.055,            700,
