"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              1,               ,              1,               ,               ,               ,
2020-02-16,              1,            1.0,              0,               ,               ,               ,
2020-02-17,              1,            1.0,              0,               ,               ,               ,
2020-02-18,              1,            1.0,              0,               ,               ,               ,
2020-02-19,              1,            1.0,              0,               ,               ,               ,
2020-02-20,              1,            1.0,              0,               ,               ,               ,
2020-02-21,              1,            1.0,              0,               ,               ,               ,
2020-02-22,              1,            1.0,              0,               ,               ,               ,
2020-02-23,              1,            1.0,              0,               ,               ,               ,
2020-02-24,              1,            1.0,              0,               ,               ,               ,
2020-02-25,              1,            1.0,              0,               ,               ,               ,
2020-02-26,              2,            2.0,              1,               ,               ,               ,
2020-02-27,              7,            3.5,              5,               ,               ,               ,
2020-02-28,             11,          1.571,              4,               ,               ,               ,
2020-02-29,             13,          1.182,              2,               ,               ,               ,
2020-03-01,             14,          1.077,              1,               ,               ,               ,
2020-03-02,             15,          1.071,              1,               ,               ,               ,
2020-03-03,             30,            2.0,             15,               ,               ,               ,
2020-03-04,             52,          1.733,             22,               ,               ,               ,
2020-03-05,             94,          1.808,             42,               ,               ,               ,
2020-03-06,            137,          1.457,             43,               ,               ,               ,
2020-03-07,            161,          1.175,             24,               ,               ,               ,
2020-03-08,            203,          1.261,             42,               ,               ,               ,
2020-03-09,            260,          1.281,             57,               ,               ,               ,
2020-03-10,            355,          1.365,             95,               ,               ,               ,
2020-03-11,            500,          1.408,            145,              1,               ,              1,
2020-03-12,            687,          1.374,            187,              1,            1.0,              0,
2020-03-13,            814,          1.185,            127,              1,            1.0,              0,
2020-03-14,            961,          1.181,            147,              2,            2.0,              1,
2020-03-15,           1040,          1.082,             79,              3,            1.5,              1,
2020-03-16,           1121,          1.078,             81,              7,          2.333,              4,
2020-03-17,           1196,          1.067,             75,              8,          1.143,              1,
2020-03-18,           1301,          1.088,            105,             10,           1.25,              2,
2020-03-19,           1439,          1.106,            138,             11,            1.1,              1,
2020-03-20,           1639,          1.139,            200,             16,          1.455,              5,
2020-03-21,           1770,           1.08,            131,             20,           1.25,              4,
2020-03-22,           1934,          1.093,            164,             21,           1.05,              1,
2020-03-23,           2046,          1.058,            112,             27,          1.286,              6,
2020-03-24,           2299,          1.124,            253,             40,          1.481,             13,
2020-03-25,           2526,          1.099,            227,             62,           1.55,             22,
2020-03-26,           2840,          1.124,            314,             77,          1.242,             15,
2020-03-27,           3069,          1.081,            229,            105,          1.364,             28,
2020-03-28,           3447,          1.123,            378,            105,            1.0,              0,
2020-03-29,           3700,          1.073,            253,            110,          1.048,              5,
2020-03-30,           4028,          1.089,            328,            146,          1.327,             36,
2020-03-31,           4435,          1.101,            407,            180,          1.233,             34,
2020-04-01,           4947,          1.115,            512,            239,          1.328,             59,
2020-04-02,           5568,          1.126,            621,            308,          1.289,             69,
2020-04-03,           6131,          1.101,            563,            358,          1.162,             50,
2020-04-04,           6443,          1.051,            312,            373,          1.042,             15,
2020-04-05,           6830,           1.06,            387,            401,          1.075,             28,
2020-04-06,           7206,          1.055,            376,            477,           1.19,             76,
