"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,              2,               ,              2,               ,               ,               ,
2020-03-02,              2,            1.0,              0,               ,               ,               ,
2020-03-03,              2,            1.0,              0,               ,               ,               ,
2020-03-04,              2,            1.0,              0,               ,               ,               ,
2020-03-05,              2,            1.0,              0,               ,               ,               ,
2020-03-06,              2,            1.0,              0,               ,               ,               ,
2020-03-07,              2,            1.0,              0,               ,               ,               ,
2020-03-08,              2,            1.0,              0,               ,               ,               ,
2020-03-09,              2,            1.0,              0,               ,               ,               ,
2020-03-10,              2,            1.0,              0,               ,               ,               ,
2020-03-11,              2,            1.0,              0,               ,               ,               ,
2020-03-12,              2,            1.0,              0,               ,               ,               ,
2020-03-13,              2,            1.0,              0,               ,               ,               ,
2020-03-14,              2,            1.0,              0,               ,               ,               ,
2020-03-15,              2,            1.0,              0,               ,               ,               ,
2020-03-16,              2,            1.0,              0,               ,               ,               ,
2020-03-17,              2,            1.0,              0,               ,               ,               ,
2020-03-18,              3,            1.5,              1,               ,               ,               ,
2020-03-19,              3,            1.0,              0,               ,               ,               ,
2020-03-20,              4,          1.333,              1,               ,               ,               ,
2020-03-21,              5,           1.25,              1,               ,               ,               ,
2020-03-22,              5,            1.0,              0,               ,               ,               ,
2020-03-23,              8,            1.6,              3,               ,               ,               ,
2020-03-24,              8,            1.0,              0,               ,               ,               ,
2020-03-25,             11,          1.375,              3,               ,               ,               ,
2020-03-26,             11,            1.0,              0,               ,               ,               ,
2020-03-27,             11,            1.0,              0,               ,               ,               ,
2020-03-28,             11,            1.0,              0,               ,               ,               ,
2020-03-29,             11,            1.0,              0,               ,               ,               ,
2020-03-30,             18,          1.636,              7,              1,               ,              1,
2020-03-31,             21,          1.167,              3,              1,            1.0,              0,
2020-04-01,             22,          1.048,              1,              1,            1.0,              0,
2020-04-02,             22,            1.0,              0,              1,            1.0,              0,
2020-04-03,             22,            1.0,              0,              1,            1.0,              0,
