"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              1,              0,              1,              0,              0,              0,
2020-03-04,              1,            1.0,              0,              0,              0,              0,
2020-03-05,              1,            1.0,              0,              0,              0,              0,
2020-03-06,              1,            1.0,              0,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              1,            1.0,              0,              0,              0,              0,
2020-03-09,              1,            1.0,              0,              0,              0,              0,
2020-03-10,              1,            1.0,              0,              0,              0,              0,
2020-03-11,              1,            1.0,              0,              0,              0,              0,
2020-03-12,              3,            3.0,              2,              0,              0,              0,
2020-03-13,              3,            1.0,              0,              1,              0,              1,
2020-03-14,              3,            1.0,              0,              1,            1.0,              0,
2020-03-15,              3,            1.0,              0,              1,            1.0,              0,
2020-03-16,              7,          2.333,              4,              1,            1.0,              0,
2020-03-17,             14,            2.0,              7,              2,            2.0,              1,
2020-03-18,             16,          1.143,              2,              2,            1.0,              0,
2020-03-19,             26,          1.625,             10,              3,            1.5,              1,
2020-03-20,             41,          1.577,             15,              3,            1.0,              0,
2020-03-21,             47,          1.146,              6,              3,            1.0,              0,
2020-03-22,             73,          1.553,             26,              3,            1.0,              0,
2020-03-23,             73,            1.0,              0,              3,            1.0,              0,
2020-03-24,            102,          1.397,             29,              3,            1.0,              0,
2020-03-25,            145,          1.422,             43,              5,          1.667,              2,
2020-03-26,            196,          1.352,             51,              5,            1.0,              0,
2020-03-27,            310,          1.582,            114,              5,            1.0,              0,
2020-03-28,            356,          1.148,             46,              9,            1.8,              4,
2020-03-29,            475,          1.334,            119,             10,          1.111,              1,
2020-03-30,            548,          1.154,             73,             13,            1.3,              3,
2020-03-31,            645,          1.177,             97,             17,          1.308,              4,
2020-04-01,            794,          1.231,            149,             20,          1.176,              3,
2020-04-02,            897,           1.13,            103,             22,            1.1,              2,
2020-04-03,           1072,          1.195,            175,             27,          1.227,              5,
2020-04-04,           1225,          1.143,            153,             32,          1.185,              5,
2020-04-05,           1308,          1.068,             83,             37,          1.156,              5,
2020-04-06,           1319,          1.008,             11,             38,          1.027,              1,
2020-04-07,           1462,          1.108,            143,             45,          1.184,              7,
2020-04-08,           1668,          1.141,            206,             52,          1.156,              7,
2020-04-09,           1892,          1.134,            224,             57,          1.096,              5,
2020-04-10,           2203,          1.164,            311,             69,          1.211,             12,
