"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              1,              0,              1,              0,              0,              0,
2020-03-05,              1,            1.0,              0,              0,              0,              0,
2020-03-06,              2,            2.0,              1,              0,              0,              0,
2020-03-07,              2,            1.0,              0,              0,              0,              0,
2020-03-08,              2,            1.0,              0,              0,              0,              0,
2020-03-09,              2,            1.0,              0,              0,              0,              0,
2020-03-10,              2,            1.0,              0,              0,              0,              0,
2020-03-11,              2,            1.0,              0,              0,              0,              0,
2020-03-12,              2,            1.0,              0,              0,              0,              0,
2020-03-13,              3,            1.5,              1,              0,              0,              0,
2020-03-14,             10,          3.333,              7,              0,              0,              0,
2020-03-15,             11,            1.1,              1,              0,              0,              0,
2020-03-16,             18,          1.636,              7,              0,              0,              0,
2020-03-17,             47,          2.611,             29,              0,              0,              0,
2020-03-18,             58,          1.234,             11,              0,              0,              0,
2020-03-19,             72,          1.241,             14,              0,              0,              0,
2020-03-20,             80,          1.111,              8,              0,              0,              0,
2020-03-21,             92,           1.15,             12,              0,              0,              0,
2020-03-22,            115,           1.25,             23,              0,              0,              0,
2020-03-23,            118,          1.026,              3,              0,              0,              0,
2020-03-24,            122,          1.034,              4,              0,              0,              0,
2020-03-25,            132,          1.082,             10,              0,              0,              0,
2020-03-26,            140,          1.061,              8,              0,              0,              0,
2020-03-27,            144,          1.029,              4,              0,              0,              0,
2020-03-28,            155,          1.076,             11,              0,              0,              0,
2020-03-29,            159,          1.026,              4,              0,              0,              0,
2020-03-30,            168,          1.057,              9,              0,              0,              0,
2020-03-31,            169,          1.006,              1,              0,              0,              0,
2020-04-01,            173,          1.024,              4,              0,              0,              0,
2020-04-02,            177,          1.023,              4,              0,              0,              0,
2020-04-03,            179,          1.011,              2,              0,              0,              0,
2020-04-04,            181,          1.011,              2,              0,              0,              0,
2020-04-05,            181,            1.0,              0,              0,              0,              0,
2020-04-06,            183,          1.011,              2,              0,              0,              0,
2020-04-07,            184,          1.005,              1,              0,              0,              0,
2020-04-08,            184,            1.0,              0,              0,              0,              0,
2020-04-09,            184,            1.0,              0,              0,              0,              0,
2020-04-10,            184,            1.0,              0,              0,              0,              0,
