"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              1,              0,              1,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              1,            1.0,              0,              0,              0,              0,
2020-03-09,              3,            3.0,              2,              0,              0,              0,
2020-03-10,              3,            1.0,              0,              0,              0,              0,
2020-03-11,              9,            3.0,              6,              0,              0,              0,
2020-03-12,              9,            1.0,              0,              0,              0,              0,
2020-03-13,             16,          1.778,              7,              0,              0,              0,
2020-03-14,             24,            1.5,              8,              0,              0,              0,
2020-03-15,             34,          1.417,             10,              0,              0,              0,
2020-03-16,             54,          1.588,             20,              0,              0,              0,
2020-03-17,             65,          1.204,             11,              0,              0,              0,
2020-03-18,             93,          1.431,             28,              0,              0,              0,
2020-03-19,            108,          1.161,             15,              0,              0,              0,
2020-03-20,            145,          1.343,             37,              0,              0,              0,
2020-03-21,            196,          1.352,             51,              0,              0,              0,
2020-03-22,            231,          1.179,             35,              2,              0,              2,
2020-03-23,            277,          1.199,             46,              3,            1.5,              1,
2020-03-24,            378,          1.365,            101,              3,            1.0,              0,
2020-03-25,            470,          1.243,             92,              4,          1.333,              1,
2020-03-26,            491,          1.045,             21,              6,            1.5,              2,
2020-03-27,            539,          1.098,             48,              6,            1.0,              0,
2020-03-28,            608,          1.128,             69,              6,            1.0,              0,
2020-03-29,            702,          1.155,             94,             10,          1.667,              4,
2020-03-30,            798,          1.137,             96,             14,            1.4,              4,
2020-03-31,            906,          1.135,            108,             16,          1.143,              2,
2020-04-01,           1065,          1.175,            159,             17,          1.062,              1,
2020-04-02,           1161,           1.09,             96,             19,          1.118,              2,
2020-04-03,           1267,          1.091,            106,             25,          1.316,              6,
2020-04-04,           1406,           1.11,            139,             32,           1.28,              7,
2020-04-05,           1485,          1.056,             79,             35,          1.094,              3,
2020-04-06,           1579,          1.063,             94,             46,          1.314,             11,
2020-04-07,           1780,          1.127,            201,             50,          1.087,              4,
2020-04-08,           2054,          1.154,            274,             55,            1.1,              5,
2020-04-09,           2223,          1.082,            169,             69,          1.255,             14,
2020-04-10,           2473,          1.112,            250,             80,          1.159,             11,
