"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              1,              0,              1,              0,              0,              0,
2020-03-12,              1,            1.0,              0,              0,              0,              0,
2020-03-13,              1,            1.0,              0,              0,              0,              0,
2020-03-14,              2,            2.0,              1,              0,              0,              0,
2020-03-15,              4,            2.0,              2,              0,              0,              0,
2020-03-16,              4,            1.0,              0,              0,              0,              0,
2020-03-17,              4,            1.0,              0,              0,              0,              0,
2020-03-18,              9,           2.25,              5,              0,              0,              0,
2020-03-19,              9,            1.0,              0,              0,              0,              0,
2020-03-20,              9,            1.0,              0,              0,              0,              0,
2020-03-21,             14,          1.556,              5,              0,              0,              0,
2020-03-22,             14,            1.0,              0,              0,              0,              0,
2020-03-23,             25,          1.786,             11,              0,              0,              0,
2020-03-24,             73,           2.92,             48,              0,              0,              0,
2020-03-25,             80,          1.096,              7,              0,              0,              0,
2020-03-26,             96,            1.2,             16,              0,              0,              0,
2020-03-27,            101,          1.052,              5,              0,              0,              0,
2020-03-28,            101,            1.0,              0,              0,              0,              0,
2020-03-29,            165,          1.634,             64,              1,              0,              1,
2020-03-30,            168,          1.018,              3,              1,            1.0,              0,
2020-03-31,            179,          1.065,             11,              1,            1.0,              0,
2020-04-01,            190,          1.061,             11,              1,            1.0,              0,
2020-04-02,            194,          1.021,              4,              1,            1.0,              0,
2020-04-03,            218,          1.124,             24,              1,            1.0,              0,
2020-04-04,            245,          1.124,             27,              1,            1.0,              0,
2020-04-05,            261,          1.065,             16,              3,            3.0,              2,
2020-04-06,            323,          1.238,             62,              3,            1.0,              0,
2020-04-07,            349,           1.08,             26,              3,            1.0,              0,
2020-04-08,            384,            1.1,             35,              3,            1.0,              0,
2020-04-09,            444,          1.156,             60,              3,            1.0,              0,
2020-04-10,            480,          1.081,             36,              3,            1.0,              0,
