"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             15,               ,             15,               ,               ,               ,
2020-02-16,             15,            1.0,              0,               ,               ,               ,
2020-02-17,             15,            1.0,              0,               ,               ,               ,
2020-02-18,             15,            1.0,              0,               ,               ,               ,
2020-02-19,             15,            1.0,              0,               ,               ,               ,
2020-02-20,             17,          1.133,              2,               ,               ,               ,
2020-02-21,             19,          1.118,              2,               ,               ,               ,
2020-02-22,             21,          1.105,              2,               ,               ,               ,
2020-02-23,             22,          1.048,              1,               ,               ,               ,
2020-02-24,             22,            1.0,              0,               ,               ,               ,
2020-02-25,             22,            1.0,              0,               ,               ,               ,
2020-02-26,             23,          1.045,              1,               ,               ,               ,
2020-02-27,             23,            1.0,              0,               ,               ,               ,
2020-02-28,             25,          1.087,              2,               ,               ,               ,
2020-02-29,             25,            1.0,              0,               ,               ,               ,
2020-03-01,             29,           1.16,              4,              1,               ,              1,
2020-03-02,             33,          1.138,              4,              1,            1.0,              0,
2020-03-03,             39,          1.182,              6,              1,            1.0,              0,
2020-03-04,             53,          1.359,             14,              2,            2.0,              1,
2020-03-05,             60,          1.132,              7,              2,            1.0,              0,
2020-03-06,             63,           1.05,              3,              2,            1.0,              0,
2020-03-07,             74,          1.175,             11,              3,            1.5,              1,
2020-03-08,             83,          1.122,              9,              3,            1.0,              0,
2020-03-09,             93,           1.12,             10,              3,            1.0,              0,
2020-03-10,            116,          1.247,             23,              3,            1.0,              0,
2020-03-11,            128,          1.103,             12,              3,            1.0,              0,
2020-03-12,            156,          1.219,             28,              3,            1.0,              0,
2020-03-13,            199,          1.276,             43,              3,            1.0,              0,
2020-03-14,            248,          1.246,             49,              3,            1.0,              0,
2020-03-15,            300,           1.21,             52,              5,          1.667,              2,
2020-03-16,            401,          1.337,            101,              5,            1.0,              0,
2020-03-17,            455,          1.135,             54,              5,            1.0,              0,
2020-03-18,            596,           1.31,            141,              6,            1.2,              1,
2020-03-19,            756,          1.268,            160,              7,          1.167,              1,
2020-03-20,            928,          1.228,            172,              7,            1.0,              0,
2020-03-21,           1072,          1.155,            144,              7,            1.0,              0,
2020-03-22,           1609,          1.501,            537,              7,            1.0,              0,
2020-03-23,           1887,          1.173,            278,              7,            1.0,              0,
2020-03-24,           2317,          1.228,            430,              8,          1.143,              1,
2020-03-25,           2676,          1.155,            359,             11,          1.375,              3,
2020-03-26,           3050,           1.14,            374,             13,          1.182,              2,
2020-03-27,           3378,          1.108,            328,             13,            1.0,              0,
2020-03-28,           3635,          1.076,            257,             14,          1.077,              1,
2020-03-29,           4163,          1.145,            528,             17,          1.214,              3,
2020-03-30,           4460,          1.071,            297,             19,          1.118,              2,
2020-03-31,           4763,          1.068,            303,             20,          1.053,              1,
2020-04-01,           5048,           1.06,            285,             23,           1.15,              3,
2020-04-02,           5314,          1.053,            266,             25,          1.087,              2,
2020-04-03,           5454,          1.026,            140,             28,           1.12,              3,
2020-04-04,           5550,          1.018,             96,             30,          1.071,              2,
