"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              1,              0,              1,              0,              0,              0,
2020-03-04,              1,            1.0,              0,              0,              0,              0,
2020-03-05,              1,            1.0,              0,              0,              0,              0,
2020-03-06,              1,            1.0,              0,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              1,            1.0,              0,              0,              0,              0,
2020-03-09,              1,            1.0,              0,              0,              0,              0,
2020-03-10,              1,            1.0,              0,              0,              0,              0,
2020-03-11,              3,            3.0,              2,              0,              0,              0,
2020-03-12,              4,          1.333,              1,              0,              0,              0,
2020-03-13,              4,            1.0,              0,              0,              0,              0,
2020-03-14,              4,            1.0,              0,              0,              0,              0,
2020-03-15,              7,           1.75,              3,              0,              0,              0,
2020-03-16,              7,            1.0,              0,              0,              0,              0,
2020-03-17,             19,          2.714,             12,              0,              0,              0,
2020-03-18,             28,          1.474,              9,              0,              0,              0,
2020-03-19,             28,            1.0,              0,              0,              0,              0,
2020-03-20,             28,            1.0,              0,              0,              0,              0,
2020-03-21,             37,          1.321,              9,              0,              0,              0,
2020-03-22,             37,            1.0,              0,              0,              0,              0,
2020-03-23,             51,          1.378,             14,              0,              0,              0,
2020-03-24,             51,            1.0,              0,              0,              0,              0,
2020-03-25,             51,            1.0,              0,              0,              0,              0,
2020-03-26,             56,          1.098,              5,              0,              0,              0,
2020-03-27,             56,            1.0,              0,              0,              0,              0,
2020-03-28,             56,            1.0,              0,              0,              0,              0,
2020-03-29,             56,            1.0,              0,              0,              0,              0,
2020-03-30,             62,          1.107,              6,              0,              0,              0,
2020-03-31,             68,          1.097,              6,              0,              0,              0,
2020-04-01,             72,          1.059,              4,              0,              0,              0,
2020-04-02,             75,          1.042,              3,              0,              0,              0,
2020-04-03,             75,            1.0,              0,              0,              0,              0,
2020-04-04,             77,          1.027,              2,              1,              0,              1,
2020-04-05,             77,            1.0,              0,              1,            1.0,              0,
2020-04-06,             77,            1.0,              0,              1,            1.0,              0,
2020-04-07,             78,          1.013,              1,              1,            1.0,              0,
2020-04-08,             78,            1.0,              0,              1,            1.0,              0,
2020-04-09,             78,            1.0,              0,              1,            1.0,              0,
2020-04-10,             79,          1.013,              1,              1,            1.0,              0,
