"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              1,              0,              1,              0,              0,              0,
2020-03-03,              1,            1.0,              0,              0,              0,              0,
2020-03-04,              1,            1.0,              0,              0,              0,              0,
2020-03-05,              1,            1.0,              0,              0,              0,              0,
2020-03-06,              1,            1.0,              0,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              2,            2.0,              1,              0,              0,              0,
2020-03-09,              5,            2.5,              3,              0,              0,              0,
2020-03-10,              6,            1.2,              1,              0,              0,              0,
2020-03-11,              7,          1.167,              1,              0,              0,              0,
2020-03-12,             13,          1.857,              6,              0,              0,              0,
2020-03-13,             16,          1.231,              3,              0,              0,              0,
2020-03-14,             18,          1.125,              2,              0,              0,              0,
2020-03-15,             20,          1.111,              2,              0,              0,              0,
2020-03-16,             24,            1.2,              4,              0,              0,              0,
2020-03-17,             27,          1.125,              3,              0,              0,              0,
2020-03-18,             29,          1.074,              2,              0,              0,              0,
2020-03-19,             39,          1.345,             10,              1,              0,              1,
2020-03-20,             54,          1.385,             15,              1,            1.0,              0,
2020-03-21,             60,          1.111,              6,              1,            1.0,              0,
2020-03-22,             75,           1.25,             15,              3,            3.0,              2,
2020-03-23,             89,          1.187,             14,              3,            1.0,              0,
2020-03-24,            114,          1.281,             25,              4,          1.333,              1,
2020-03-25,            173,          1.518,             59,              5,           1.25,              1,
2020-03-26,            197,          1.139,             24,              5,            1.0,              0,
2020-03-27,            227,          1.152,             30,              7,            1.4,              2,
2020-03-28,            278,          1.225,             51,              8,          1.143,              1,
2020-03-29,            312,          1.122,             34,              8,            1.0,              0,
2020-03-30,            362,           1.16,             50,              9,          1.125,              1,
2020-03-31,            394,          1.088,             32,             10,          1.111,              1,
2020-04-01,            423,          1.074,             29,             12,            1.2,              2,
2020-04-02,            455,          1.076,             32,             14,          1.167,              2,
2020-04-03,            495,          1.088,             40,             18,          1.286,              4,
2020-04-04,            553,          1.117,             58,             18,            1.0,              0,
2020-04-05,            574,          1.038,             21,             22,          1.222,              4,
2020-04-06,            596,          1.038,             22,             22,            1.0,              0,
2020-04-07,            623,          1.045,             27,             23,          1.045,              1,
2020-04-08,            628,          1.008,              5,             24,          1.043,              1,
2020-04-09,            643,          1.024,             15,             25,          1.042,              1,
2020-04-10,            671,          1.044,             28,             25,            1.0,              0,
