"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              1,              0,              1,              0,              0,              0,
2020-03-14,              1,            1.0,              0,              0,              0,              0,
2020-03-15,              1,            1.0,              0,              0,              0,              0,
2020-03-16,              1,            1.0,              0,              1,              0,              1,
2020-03-17,              1,            1.0,              0,              1,            1.0,              0,
2020-03-18,              1,            1.0,              0,              1,            1.0,              0,
2020-03-19,              3,            3.0,              2,              1,            1.0,              0,
2020-03-20,              3,            1.0,              0,              1,            1.0,              0,
2020-03-21,              3,            1.0,              0,              1,            1.0,              0,
2020-03-22,              3,            1.0,              0,              1,            1.0,              0,
2020-03-23,              5,          1.667,              2,              1,            1.0,              0,
2020-03-24,              6,            1.2,              1,              1,            1.0,              0,
2020-03-25,              8,          1.333,              2,              1,            1.0,              0,
2020-03-26,              8,            1.0,              0,              1,            1.0,              0,
2020-03-27,              8,            1.0,              0,              1,            1.0,              0,
2020-03-28,              8,            1.0,              0,              1,            1.0,              0,
2020-03-29,             12,            1.5,              4,              1,            1.0,              0,
2020-03-30,             12,            1.0,              0,              1,            1.0,              0,
2020-03-31,             14,          1.167,              2,              1,            1.0,              0,
2020-04-01,             22,          1.571,              8,              1,            1.0,              0,
2020-04-02,             28,          1.273,              6,              1,            1.0,              0,
2020-04-03,             29,          1.036,              1,              1,            1.0,              0,
2020-04-04,             35,          1.207,              6,              1,            1.0,              0,
2020-04-05,             39,          1.114,              4,              1,            1.0,              0,
2020-04-06,             39,            1.0,              0,              1,            1.0,              0,
2020-04-07,             45,          1.154,              6,              1,            1.0,              0,
2020-04-08,             45,            1.0,              0,              1,            1.0,              0,
2020-04-09,             45,            1.0,              0,              1,            1.0,              0,
2020-04-10,             45,            1.0,              0,              1,            1.0,              0,
