"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,              1,               ,              1,               ,               ,               ,
2020-02-27,              1,            1.0,              0,               ,               ,               ,
2020-02-28,              1,            1.0,              0,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              1,            1.0,              0,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              1,            1.0,              0,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              3,            3.0,              2,               ,               ,               ,
2020-03-07,              3,            1.0,              0,               ,               ,               ,
2020-03-08,              3,            1.0,              0,               ,               ,               ,
2020-03-09,              5,          1.667,              2,               ,               ,               ,
2020-03-10,              7,            1.4,              2,               ,               ,               ,
2020-03-11,              9,          1.286,              2,               ,               ,               ,
2020-03-12,              9,            1.0,              0,               ,               ,               ,
2020-03-13,             14,          1.556,              5,               ,               ,               ,
2020-03-14,             19,          1.357,              5,               ,               ,               ,
2020-03-15,             19,            1.0,              0,               ,               ,               ,
2020-03-16,             24,          1.263,              5,               ,               ,               ,
2020-03-17,             31,          1.292,              7,               ,               ,               ,
2020-03-18,             43,          1.387,             12,               ,               ,               ,
2020-03-19,             50,          1.163,              7,               ,               ,               ,
2020-03-20,             76,           1.52,             26,               ,               ,               ,
2020-03-21,             85,          1.118,              9,               ,               ,               ,
2020-03-22,            115,          1.353,             30,              1,               ,              1,
2020-03-23,            136,          1.183,             21,              2,            2.0,              1,
2020-03-24,            148,          1.088,             12,              2,            1.0,              0,
2020-03-25,            177,          1.196,             29,              3,            1.5,              1,
2020-03-26,            201,          1.136,             24,              3,            1.0,              0,
2020-03-27,            219,           1.09,             18,              3,            1.0,              0,
2020-03-28,            241,            1.1,             22,              4,          1.333,              1,
2020-03-29,            259,          1.075,             18,              6,            1.5,              2,
2020-03-30,            285,            1.1,             26,              7,          1.167,              1,
2020-03-31,            329,          1.154,             44,              9,          1.286,              2,
2020-04-01,            354,          1.076,             25,             11,          1.222,              2,
2020-04-02,            384,          1.085,             30,             11,            1.0,              0,
2020-04-03,            430,           1.12,             46,             12,          1.091,              1,
2020-04-04,            483,          1.123,             53,             17,          1.417,              5,
2020-04-05,            555,          1.149,             72,             18,          1.059,              1,
2020-04-06,            570,          1.027,             15,             23,          1.278,              5,
