"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              1,              0,              1,              0,              0,              0,
2020-03-06,              1,            1.0,              0,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              9,            9.0,              8,              0,              0,              0,
2020-03-09,              9,            1.0,              0,              0,              0,              0,
2020-03-10,             13,          1.444,              4,              0,              0,              0,
2020-03-11,             22,          1.692,              9,              0,              0,              0,
2020-03-12,             23,          1.045,              1,              0,              0,              0,
2020-03-13,             23,            1.0,              0,              0,              0,              0,
2020-03-14,             27,          1.174,              4,              0,              0,              0,
2020-03-15,             35,          1.296,              8,              0,              0,              0,
2020-03-16,             41,          1.171,              6,              0,              0,              0,
2020-03-17,             50,           1.22,              9,              0,              0,              0,
2020-03-18,             69,           1.38,             19,              1,              0,              1,
2020-03-19,             87,          1.261,             18,              1,            1.0,              0,
2020-03-20,            113,          1.299,             26,              2,            2.0,              1,
2020-03-21,            117,          1.035,              4,              2,            1.0,              0,
2020-03-22,            134,          1.145,             17,              2,            1.0,              0,
2020-03-23,            158,          1.179,             24,              2,            1.0,              0,
2020-03-24,            177,           1.12,             19,              2,            1.0,              0,
2020-03-25,            201,          1.136,             24,              2,            1.0,              0,
2020-03-26,            231,          1.149,             30,              2,            1.0,              0,
2020-03-27,            263,          1.139,             32,              2,            1.0,              0,
2020-03-28,            295,          1.122,             32,              2,            1.0,              0,
2020-03-29,            314,          1.064,             19,              2,            1.0,              0,
2020-03-30,            330,          1.051,             16,              2,            1.0,              0,
2020-03-31,            347,          1.052,             17,              2,            1.0,              0,
2020-04-01,            375,          1.081,             28,              2,            1.0,              0,
2020-04-02,            396,          1.056,             21,              2,            1.0,              0,
2020-04-03,            416,          1.051,             20,              2,            1.0,              0,
2020-04-04,            435,          1.046,             19,              2,            1.0,              0,
2020-04-05,            454,          1.044,             19,              2,            1.0,              0,
2020-04-06,            467,          1.029,             13,              2,            1.0,              0,
2020-04-07,            483,          1.034,             16,              2,            1.0,              0,
2020-04-08,            502,          1.039,             19,              3,            1.5,              1,
2020-04-09,            539,          1.074,             37,              3,            1.0,              0,
2020-04-10,            558,          1.035,             19,              3,            1.0,              0,
