"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              1,              0,              1,              0,              0,              0,
2020-03-03,              1,            1.0,              0,              0,              0,              0,
2020-03-04,              2,            2.0,              1,              0,              0,              0,
2020-03-05,              5,            2.5,              3,              0,              0,              0,
2020-03-06,              5,            1.0,              0,              0,              0,              0,
2020-03-07,              7,            1.4,              2,              0,              0,              0,
2020-03-08,             11,          1.571,              4,              0,              0,              0,
2020-03-09,             20,          1.818,              9,              0,              0,              0,
2020-03-10,             20,            1.0,              0,              0,              0,              0,
2020-03-11,             45,           2.25,             25,              0,              0,              0,
2020-03-12,             45,            1.0,              0,              0,              0,              0,
2020-03-13,             86,          1.911,             41,              0,              0,              0,
2020-03-14,            103,          1.198,             17,              0,              0,              0,
2020-03-15,            118,          1.146,             15,              0,              0,              0,
2020-03-16,            133,          1.127,             15,              0,              0,              0,
2020-03-17,            171,          1.286,             38,              0,              0,              0,
2020-03-18,            238,          1.392,             67,              0,              0,              0,
2020-03-19,            274,          1.151,             36,              0,              0,              0,
2020-03-20,            344,          1.255,             70,              0,              0,              0,
2020-03-21,            392,           1.14,             48,              0,              0,              0,
2020-03-22,            511,          1.304,            119,              0,              0,              0,
2020-03-23,            562,            1.1,             51,              0,              0,              0,
2020-03-24,            767,          1.365,            205,              1,              0,              1,
2020-03-25,            900,          1.173,            133,              2,            2.0,              1,
2020-03-26,           1012,          1.124,            112,              3,            1.5,              1,
2020-03-27,           1104,          1.091,             92,              3,            1.0,              0,
2020-03-28,           1203,           1.09,             99,              4,          1.333,              1,
2020-03-29,           1299,           1.08,             96,              8,            2.0,              4,
2020-03-30,           1453,          1.119,            154,              8,            1.0,              0,
2020-03-31,           1563,          1.076,            110,             10,           1.25,              2,
2020-04-01,           1720,            1.1,            157,             16,            1.6,              6,
2020-04-02,           1885,          1.096,            165,             21,          1.312,              5,
2020-04-03,           2039,          1.082,            154,             25,           1.19,              4,
2020-04-04,           2179,          1.069,            140,             29,           1.16,              4,
2020-04-05,           2402,          1.102,            223,             34,          1.172,              5,
2020-04-06,           2605,          1.085,            203,             38,          1.118,              4,
2020-04-07,           2795,          1.073,            190,             41,          1.079,              3,
2020-04-08,           2932,          1.049,            137,             41,            1.0,              0,
2020-04-09,           3287,          1.121,            355,             44,          1.073,              3,
2020-04-10,           3651,          1.111,            364,             47,          1.068,              3,
