"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              2,              0,              2,              0,              0,              0,
2020-02-16,              2,            1.0,              0,              0,              0,              0,
2020-02-17,              2,            1.0,              0,              0,              0,              0,
2020-02-18,              2,            1.0,              0,              0,              0,              0,
2020-02-19,              2,            1.0,              0,              0,              0,              0,
2020-02-20,              2,            1.0,              0,              0,              0,              0,
2020-02-21,              2,            1.0,              0,              0,              0,              0,
2020-02-22,              2,            1.0,              0,              0,              0,              0,
2020-02-23,              2,            1.0,              0,              0,              0,              0,
2020-02-24,              2,            1.0,              0,              0,              0,              0,
2020-02-25,              2,            1.0,              0,              0,              0,              0,
2020-02-26,              2,            1.0,              0,              0,              0,              0,
2020-02-27,              2,            1.0,              0,              0,              0,              0,
2020-02-28,              2,            1.0,              0,              0,              0,              0,
2020-02-29,              2,            1.0,              0,              0,              0,              0,
2020-03-01,              2,            1.0,              0,              0,              0,              0,
2020-03-02,              3,            1.5,              1,              0,              0,              0,
2020-03-03,              3,            1.0,              0,              0,              0,              0,
2020-03-04,              3,            1.0,              0,              0,              0,              0,
2020-03-05,              7,          2.333,              4,              0,              0,              0,
2020-03-06,             13,          1.857,              6,              0,              0,              0,
2020-03-07,             14,          1.077,              1,              0,              0,              0,
2020-03-08,             17,          1.214,              3,              0,              0,              0,
2020-03-09,             20,          1.176,              3,              0,              0,              0,
2020-03-10,             20,            1.0,              0,              0,              0,              0,
2020-03-11,             28,            1.4,              8,              0,              0,              0,
2020-03-12,             34,          1.214,              6,              0,              0,              0,
2020-03-13,             45,          1.324,             11,              0,              0,              0,
2020-03-14,             59,          1.311,             14,              0,              0,              0,
2020-03-15,             63,          1.068,              4,              0,              0,              0,
2020-03-16,             93,          1.476,             30,              0,              0,              0,
2020-03-17,            114,          1.226,             21,              0,              0,              0,
2020-03-18,            147,          1.289,             33,              0,              0,              0,
2020-03-19,            199,          1.354,             52,              1,              0,              1,
2020-03-20,            253,          1.271,             54,              1,            1.0,              0,
2020-03-21,            306,          1.209,             53,              1,            1.0,              0,
2020-03-22,            367,          1.199,             61,              1,            1.0,              0,
2020-03-23,            438,          1.193,             71,              1,            1.0,              0,
2020-03-24,            495,           1.13,             57,              1,            1.0,              0,
2020-03-25,            658,          1.329,            163,              3,            3.0,              2,
2020-03-26,            840,          1.277,            182,              3,            1.0,              0,
2020-03-27,           1036,          1.233,            196,              4,          1.333,              1,
2020-03-28,           1264,           1.22,            228,              4,            1.0,              0,
2020-03-29,           1534,          1.214,            270,              8,            2.0,              4,
2020-03-30,           1836,          1.197,            302,              9,          1.125,              1,
2020-03-31,           2337,          1.273,            501,             17,          1.889,              8,
2020-04-01,           2777,          1.188,            440,             24,          1.412,              7,
2020-04-02,           3548,          1.278,            771,             30,           1.25,              6,
2020-04-03,           4149,          1.169,            601,             34,          1.133,              4,
2020-04-04,           4731,           1.14,            582,             43,          1.265,              9,
2020-04-05,           5389,          1.139,            658,             45,          1.047,              2,
2020-04-06,           6343,          1.177,            954,             47,          1.044,              2,
2020-04-07,           7497,          1.182,           1154,             58,          1.234,             11,
2020-04-08,           8672,          1.157,           1175,             63,          1.086,              5,
2020-04-09,          10131,          1.168,           1459,             76,          1.206,             13,
2020-04-10,          11917,          1.176,           1786,             94,          1.237,             18,
