"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              2,              0,              2,              0,              0,              0,
2020-03-19,              2,            1.0,              0,              0,              0,              0,
2020-03-20,              2,            1.0,              0,              0,              0,              0,
2020-03-21,              2,            1.0,              0,              0,              0,              0,
2020-03-22,              3,            1.5,              1,              0,              0,              0,
2020-03-23,              3,            1.0,              0,              0,              0,              0,
2020-03-24,              3,            1.0,              0,              0,              0,              0,
2020-03-25,             12,            4.0,              9,              0,              0,              0,
2020-03-26,             16,          1.333,              4,              0,              0,              0,
2020-03-27,             22,          1.375,              6,              0,              0,              0,
2020-03-28,             28,          1.273,              6,              0,              0,              0,
2020-03-29,             29,          1.036,              1,              0,              0,              0,
2020-03-30,             35,          1.207,              6,              0,              0,              0,
2020-03-31,             36,          1.029,              1,              0,              0,              0,
2020-04-01,             36,            1.0,              0,              0,              0,              0,
2020-04-02,             39,          1.083,              3,              1,              0,              1,
2020-04-03,             39,            1.0,              0,              1,            1.0,              0,
2020-04-04,             39,            1.0,              0,              1,            1.0,              0,
2020-04-05,             39,            1.0,              0,              1,            1.0,              0,
2020-04-06,             39,            1.0,              0,              1,            1.0,              0,
2020-04-07,             39,            1.0,              0,              1,            1.0,              0,
2020-04-08,             39,            1.0,              0,              1,            1.0,              0,
2020-04-09,             39,            1.0,              0,              1,            1.0,              0,
2020-04-10,             40,          1.026,              1,              2,            2.0,              1,
