"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,              1,               ,              1,               ,               ,               ,
2020-02-29,              3,            3.0,              2,               ,               ,               ,
2020-03-01,              3,            1.0,              0,               ,               ,               ,
2020-03-02,              3,            1.0,              0,               ,               ,               ,
2020-03-03,              3,            1.0,              0,               ,               ,               ,
2020-03-04,              3,            1.0,              0,               ,               ,               ,
2020-03-05,              6,            2.0,              3,               ,               ,               ,
2020-03-06,              9,            1.5,              3,               ,               ,               ,
2020-03-07,              9,            1.0,              0,               ,               ,               ,
2020-03-08,              9,            1.0,              0,               ,               ,               ,
2020-03-09,              9,            1.0,              0,               ,               ,               ,
2020-03-10,             11,          1.222,              2,               ,               ,               ,
2020-03-11,             11,            1.0,              0,               ,               ,               ,
2020-03-12,             15,          1.364,              4,              1,               ,              1,
2020-03-13,             15,            1.0,              0,              1,            1.0,              0,
2020-03-14,             19,          1.267,              4,              1,            1.0,              0,
2020-03-15,             23,          1.211,              4,              1,            1.0,              0,
2020-03-16,             25,          1.087,              2,              1,            1.0,              0,
2020-03-17,             34,           1.36,              9,              1,            1.0,              0,
2020-03-18,             34,            1.0,              0,              1,            1.0,              0,
2020-03-19,             44,          1.294,             10,              1,            1.0,              0,
2020-03-20,             44,            1.0,              0,              1,            1.0,              0,
2020-03-21,             53,          1.205,              9,              1,            1.0,              0,
2020-03-22,             65,          1.226,             12,              1,            1.0,              0,
2020-03-23,             72,          1.108,              7,              1,            1.0,              0,
2020-03-24,             87,          1.208,             15,              1,            1.0,              0,
2020-03-25,             93,          1.069,              6,              2,            2.0,              1,
2020-03-26,            122,          1.312,             29,              3,            1.5,              1,
2020-03-27,            165,          1.352,             43,              3,            1.0,              0,
2020-03-28,            182,          1.103,             17,              4,          1.333,              1,
2020-03-29,            209,          1.148,             27,              4,            1.0,              0,
2020-03-30,            273,          1.306,             64,              4,            1.0,              0,
2020-03-31,            298,          1.092,             25,              5,           1.25,              1,
2020-04-01,            359,          1.205,             61,              5,            1.0,              0,
2020-04-02,            400,          1.114,             41,              5,            1.0,              0,
2020-04-03,            443,          1.107,             43,              5,            1.0,              0,
2020-04-04,            521,          1.176,             78,              5,            1.0,              0,
